SeriesCode,Development relevance,Statistical concept and methodology,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Base Period,Aggregation method,Limitations and exceptions,Notes from original source,General comments
SE.PRM.ENRR.FE,,,"School enrollment, primary, female (% gross)",,"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,"Relevance to gender indicator: Education can empower women by providing them with better economic opportunities. Moreover, education is important tool to defeat traditions that are nefarious to girls and women. Enrollment ratio is also an indicator of gender disparity to access to educational services."
SE.PRM.ENRR.MA,,,"School enrollment, primary, male (% gross)",,"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,"Relevance to gender indicator: Education can empower women by providing them with better economic opportunities. Moreover, education is important tool to defeat traditions that are nefarious to girls and women. Enrollment ratio is also an indicator of gender disparity to access to educational services."
SE.PRM.NENR.FE,,,"School enrollment, primary, female (% net)",,"Net enrollment ratio is the ratio of children of official school age based on the International Standard Classification of Education 1997 who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,"Relevance to gender indicator: Education can empower women by providing them with better economic opportunities. Moreover, education is important tool to defeat traditions that are nefarious to girls and women. Enrollment ratio is also an indicator of gender disparity to access to educational services."
SE.PRM.NENR.MA,,,"School enrollment, primary, male (% net)",,"Net enrollment ratio is the ratio of children of official school age based on the International Standard Classification of Education 1997 who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,"Relevance to gender indicator: Education can empower women by providing them with better economic opportunities. Moreover, education is important tool to defeat traditions that are nefarious to girls and women. Enrollment ratio is also an indicator of gender disparity to access to educational services."
SE.PRM.NINT.FE.ZS,,,"Net intake rate in grade 1, female (% of official school-age population)",,"Net intake rate in grade 1 is the number of new entrants in the first grade of primary education who are of official primary school entrance age, expressed as a percentage of the population of the corresponding age.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Efficiency,Annual,,Weighted average,,,
SE.PRM.NINT.MA.ZS,,,"Net intake rate in grade 1, male (% of official school-age population)",,"Net intake rate in grade 1 is the number of new entrants in the first grade of primary education who are of official primary school entrance age, expressed as a percentage of the population of the corresponding age.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Efficiency,Annual,,Weighted average,,,
SE.PRM.PRS5.FE.ZS,"Cohort survival rate is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of universal primary education by 2015, and whether an education system has the capacity to meet the needs of universal primary education.","The cohort survival rate to grade 5 of primary education shows the percentage of students entering primary school who are expected to reach the specified grade. It measures an education system's holding power and internal efficiency. Rates approaching 100 percent indicate high retention and low dropout levels.

It is calculated by dividing the total number of children belonging to a cohort who reached each successive grade of the specified level of education by the number of children in the same cohort; those originally enrolled in the first grade of primary education, and multiplying the result by 100. To reflect current patterns of grade transition, it is calculated based on the reconstructed cohort method, which uses data on enrollment by grade for the two most recent years and data on repeaters by grade for the most recent of those two years. Aggregate data are World Bank estimates.

Data on education are collected by the UIS from official responses to its annual education survey. All the data published by the UIS are mapped to the International Standard Classification of Education 1997 (ISCED97). This classification system ensures the comparability of education programs at the international level. UNESCO developed the ISCED to facilitate comparisons of education statistics and indicators of different countries on the basis of uniform and internationally agreed definitions. First developed in the 1970s, the current version was formally adopted in November 1997.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Persistence to grade 5, female (% of cohort)",,Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Efficiency,Annual,,Weighted average,"The estimates have limitations in capturing real trend in that an observed rate will be applied to the underlying indicators such as repetition rate and promotion rate throughout the cohort life, and re-entrants, grade skipping, migration or transfers during a school year are not adequately captured.",,Relevance to gender indicator: this indicator measures gender disparity in the retention rate until grade 5 which can be used to postulate the reasons why some girls drop out of schools. Aggregate data are based on World Bank estimates.
SE.PRM.PRS5.MA.ZS,"Cohort survival rate is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of universal primary education by 2015, and whether an education system has the capacity to meet the needs of universal primary education.","The cohort survival rate to grade 5 of primary education shows the percentage of students entering primary school who are expected to reach the specified grade. It measures an education system's holding power and internal efficiency. Rates approaching 100 percent indicate high retention and low dropout levels.

It is calculated by dividing the total number of children belonging to a cohort who reached each successive grade of the specified level of education by the number of children in the same cohort; those originally enrolled in the first grade of primary education, and multiplying the result by 100. To reflect current patterns of grade transition, it is calculated based on the reconstructed cohort method, which uses data on enrollment by grade for the two most recent years and data on repeaters by grade for the most recent of those two years. Aggregate data are World Bank estimates.

Data on education are collected by the UIS from official responses to its annual education survey. All the data published by the UIS are mapped to the International Standard Classification of Education 1997 (ISCED97). This classification system ensures the comparability of education programs at the international level. UNESCO developed the ISCED to facilitate comparisons of education statistics and indicators of different countries on the basis of uniform and internationally agreed definitions. First developed in the 1970s, the current version was formally adopted in November 1997.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Persistence to grade 5, male (% of cohort)",,Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Efficiency,Annual,,Weighted average,"The estimates have limitations in capturing real trend in that an observed rate will be applied to the underlying indicators such as repetition rate and promotion rate throughout the cohort life, and re-entrants, grade skipping, migration or transfers during a school year are not adequately captured.",,Relevance to gender indicator: this indicator measures gender disparity in the retention rate until grade 5 which can be used to postulate the reasons why some girls drop out of schools. Aggregate data are based on World Bank estimates.
SE.PRM.TCHR.FE.ZS,,,"Primary education, teachers (% female)",,Female teachers as a percentage of total primary education teachers includes full-time and part-time teachers.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Inputs,Annual,,Weighted average,,,Relevance to gender indicator: Women teachers are important as they serve as role models to girls and help to attract and retain girls in school.
SE.PRM.TENR.FE,"Enrollment indicators help monitor whether a country is on track to achieve the Millennium Development Goal of universal primary education by 2015, and whether an education system has the capacity to meet the needs of universal primary education.

Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments.","Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of primary education differs across countries and can influence enrollment rates and ratios, although the International Standard Classification of Education (ISCED) tries to minimize the difference. A shorter duration for primary education tends to increase the ratio; a longer one to decrease it (in part because older children are more at risk of dropping out).

The adjusted net enrollment rate in primary education captures primary school-age children who have progressed to secondary education faster than their peers have and who are not counted in the traditional net enrollment rate. It is calculated by dividing the number of children in the official primary school age who are enrolled in primary or secondary education by the population of the same age group and multiplying the result by 100. Aggregate data are estimates by the United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics (UIS).

Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

Data on education are collected by the UIS from official responses to its annual education survey. All the data published by UIS are mapped to the International Standard Classification of Education 1997 (ISCED97). This classification system ensures the comparability of education programs at the international level. UNESCO developed the ISCED to facilitate comparisons of education statistics and indicators of different countries on the basis of uniform and internationally agreed definitions. First developed in the 1970s, the current version was formally adopted in November 1997.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Adjusted net enrollment rate, primary, female (% of primary school age children)",,"Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,,"Overage or underage enrollments are frequent, particularly when parents prefer children to start school at other than the official age. Age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.",,
SE.PRM.TENR.MA,"Enrollment indicators help monitor whether a country is on track to achieve the Millennium Development Goal of universal primary education by 2015, and whether an education system has the capacity to meet the needs of universal primary education.

Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments.","Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of primary education differs across countries and can influence enrollment rates and ratios, although the International Standard Classification of Education (ISCED) tries to minimize the difference. A shorter duration for primary education tends to increase the ratio; a longer one to decrease it (in part because older children are more at risk of dropping out).

The adjusted net enrollment rate in primary education captures primary school-age children who have progressed to secondary education faster than their peers have and who are not counted in the traditional net enrollment rate. It is calculated by dividing the number of children in the official primary school age who are enrolled in primary or secondary education by the population of the same age group and multiplying the result by 100. Aggregate data are estimates by the United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics (UIS).

Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

Data on education are collected by the UIS from official responses to its annual education survey. All the data published by UIS are mapped to the International Standard Classification of Education 1997 (ISCED97). This classification system ensures the comparability of education programs at the international level. UNESCO developed the ISCED to facilitate comparisons of education statistics and indicators of different countries on the basis of uniform and internationally agreed definitions. First developed in the 1970s, the current version was formally adopted in November 1997.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Adjusted net enrollment rate, primary, male (% of primary school age children)",,"Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,,"Overage or underage enrollments are frequent, particularly when parents prefer children to start school at other than the official age. Age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.",,
SE.PRM.UNER.FE,"Large numbers of children out of school create pressure to enroll children and provide classrooms, teachers, and educational materials, a task made difficult in many countries by limited education budgets. However, getting children into school is a high priority for countries and crucial for achieving the Millennium Development Goal of universal primary education.","Data on children out of school (primary school-age children not enrolled in primary or secondary school - dropouts, children never enrolled, and children of primary age enrolled in preprimary education) are compiled from administrative data.

It is calculated by subtracting the number of primary school-age children enrolled in primary or secondary school from the total population of the official primary school-age children. Aggregate data are estimates by the United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics (UIS).

Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

Data on education are collected by the UIS from official responses to its annual education survey. All the data published by the UIS are mapped to the International Standard Classification of Education 1997 (ISCED97). This classification system ensures the comparability of education programs at the international level. UNESCO developed the ISCED to facilitate comparisons of education statistics and indicators of different countries on the basis of uniform and internationally agreed definitions. First developed in the 1970s, the current version was formally adopted in November 1997.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Children out of school, primary, female",,Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Sum,"Due to different data sources for enrollment and population data, the number may not capture the actual number of children not attending in primary school.",,Relevance to gender indicator: It has been well known that more girls are out of school than boys which has been shown to be nefarious to a country’s social and economic health.
SE.PRM.UNER.MA,"Large numbers of children out of school create pressure to enroll children and provide classrooms, teachers, and educational materials, a task made difficult in many countries by limited education budgets. However, getting children into school is a high priority for countries and crucial for achieving the Millennium Development Goal of universal primary education.","Data on children out of school (primary school-age children not enrolled in primary or secondary school - dropouts, children never enrolled, and children of primary age enrolled in preprimary education) are compiled from administrative data.

It is calculated by subtracting the number of primary school-age children enrolled in primary or secondary school from the total population of the official primary school-age children. Aggregate data are estimates by the United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics (UIS).

Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

Data on education are collected by the UIS from official responses to its annual education survey. All the data published by the UIS are mapped to the International Standard Classification of Education 1997 (ISCED97). This classification system ensures the comparability of education programs at the international level. UNESCO developed the ISCED to facilitate comparisons of education statistics and indicators of different countries on the basis of uniform and internationally agreed definitions. First developed in the 1970s, the current version was formally adopted in November 1997.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Children out of school, primary, male",,Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Sum,"Due to different data sources for enrollment and population data, the number may not capture the actual number of children not attending in primary school.",,Relevance to gender indicator: It has been well known that more girls are out of school than boys which has been shown to be nefarious to a country’s social and economic health.
SE.SCH.LIFE.FE,,,"Expected years of schooling, female",,"Expected years of schooling is the number of years a child of school entrance age is expect to spend at school, or university, including years spent on repetition. It is the sum of the age-specific enrolment ratios for primary, secondary, post-secondary non-tertiary and tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,Weighted average,,,
SE.SCH.LIFE.MA,,,"Expected years of schooling, male",,"Expected years of schooling is the number of years a child of school entrance age is expect to spend at school, or university, including years spent on repetition. It is the sum of the age-specific enrolment ratios for primary, secondary, post-secondary non-tertiary and tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,Weighted average,,,
SE.SEC.ENRL.FE.ZS,,,"Secondary education, pupils (% female)",,Female pupils as a percentage of total pupils at secondary level includes enrollments in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,
SE.SEC.ENRR.FE,,,"School enrollment, secondary, female (% gross)",,"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,"Relevance to gender indicator: Education can empower women by providing them with better economic opportunities. Moreover, education is important tool to defeat traditions that are nefarious to girls and women. Enrollment ratio is also an indicator of gender disparity to access to educational services."
SE.SEC.ENRR.MA,,,"School enrollment, secondary, male (% gross)",,"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,"Relevance to gender indicator: Education can empower women by providing them with better economic opportunities. Moreover, education is important tool to defeat traditions that are nefarious to girls and women. Enrollment ratio is also an indicator of gender disparity to access to educational services."
SE.SEC.NENR.FE,,,"School enrollment, secondary, female (% net)",,"Net enrollment ratio is the ratio of children of official school age based on the International Standard Classification of Education 1997 who are enrolled in school to the population of the corresponding official school age. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,"Relevance to gender indicator: Education can empower women by providing them with better economic opportunities. Moreover, education is important tool to defeat traditions that are nefarious to girls and women. Enrollment ratio is also an indicator of gender disparity to access to educational services."
SE.SEC.NENR.MA,,,"School enrollment, secondary, male (% net)",,"Net enrollment ratio is the ratio of children of official school age based on the International Standard Classification of Education 1997 who are enrolled in school to the population of the corresponding official school age. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,"Relevance to gender indicator: Education can empower women by providing them with better economic opportunities. Moreover, education is important tool to defeat traditions that are nefarious to girls and women. Enrollment ratio is also an indicator of gender disparity to access to educational services."
SE.SEC.PROG.FE.ZS,,"The transition rate from primary to secondary education conveys the degree of access or transition between the two levels. As completing primary education is a prerequisite for participating in lower secondary education, growing numbers of primary completers will inevitably create pressure for more available places at the secondary level. A low transition rate can signal such problems as an inadequate examination and promotion system or insufficient secondary education capacity.

It is calculated by dividing the number of new entrants in the first grade of secondary education by the number of students who were enrolled in the final grade of primary education in the previous school year, and multiplying by 100. Aggregate data are World Bank estimates.

Data on education are collected by the UIS from official responses to its annual education survey. All the data published by the UIS are mapped to the International Standard Classification of Education 1997 (ISCED97). This classification system ensures the comparability of education programs at the international level. UNESCO developed the ISCED to facilitate comparisons of education statistics and indicators of different countries on the basis of uniform and internationally agreed definitions. First developed in the 1970s, the current version was formally adopted in November 1997.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Progression to secondary school, female (%)",,Progression to secondary school refers to the number of new entrants to the first grade of secondary school in a given year as a percentage of the number of students enrolled in the final grade of primary school in the previous year.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Efficiency,Annual,,Weighted average,The quality of data on the transition rate is affected when new entrants and repeaters are not correctly distinguished in the first grade of secondary education. Students who interrupt their studies after completing primary education could also affect data quality.,,Aggregate data are based on World Bank estimates.
SE.SEC.PROG.MA.ZS,,"The transition rate from primary to secondary education conveys the degree of access or transition between the two levels. As completing primary education is a prerequisite for participating in lower secondary education, growing numbers of primary completers will inevitably create pressure for more available places at the secondary level. A low transition rate can signal such problems as an inadequate examination and promotion system or insufficient secondary education capacity.

It is calculated by dividing the number of new entrants in the first grade of secondary education by the number of students who were enrolled in the final grade of primary education in the previous school year, and multiplying by 100. Aggregate data are World Bank estimates.

Data on education are collected by the UIS from official responses to its annual education survey. All the data published by the UIS are mapped to the International Standard Classification of Education 1997 (ISCED97). This classification system ensures the comparability of education programs at the international level. UNESCO developed the ISCED to facilitate comparisons of education statistics and indicators of different countries on the basis of uniform and internationally agreed definitions. First developed in the 1970s, the current version was formally adopted in November 1997.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Progression to secondary school, male (%)",,Progression to secondary school refers to the number of new entrants to the first grade of secondary school in a given year as a percentage of the number of students enrolled in the final grade of primary school in the previous year.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Efficiency,Annual,,Weighted average,The quality of data on the transition rate is affected when new entrants and repeaters are not correctly distinguished in the first grade of secondary education. Students who interrupt their studies after completing primary education could also affect data quality.,,Aggregate data are based on World Bank estimates.
SE.SEC.TCHR.FE.ZS,,,"Secondary education, teachers (% female)",,Female teachers as a percentage of total secondary education teachers includes full-time and part-time teachers.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Inputs,Annual,,Weighted average,,,Relevance to gender indicator: Women teachers are important as they serve as role models to girls and help to attract and retain girls in school.
SE.TER.ENRR.FE,,,"School enrollment, tertiary, female (% gross)",,"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Tertiary education, whether or not to an advanced research qualification, normally requires, as a minimum condition of admission, the successful completion of education at the secondary level.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,"Relevance to gender indicator: Education can empower women by providing them with better economic opportunities. Moreover, education is important tool to defeat traditions that are nefarious to girls and women. Enrollment ratio is also an indicator of gender disparity to access to educational services."
SE.TER.ENRR.MA,,,"School enrollment, tertiary, male (% gross)",,"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Tertiary education, whether or not to an advanced research qualification, normally requires, as a minimum condition of admission, the successful completion of education at the secondary level.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,"Relevance to gender indicator: Education can empower women by providing them with better economic opportunities. Moreover, education is important tool to defeat traditions that are nefarious to girls and women. Enrollment ratio is also an indicator of gender disparity to access to educational services."
SE.TER.GRAD.FE.AG.ZS,,,"Female share of graduates in agriculture (%, tertiary)",,"Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,,,,
SE.TER.GRAD.FE.ED.ZS,,,"Female share of graduates in education (%, tertiary)",,"Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,,,,
SE.TER.GRAD.FE.EN.ZS,,,"Female share of graduates in engineering, manufacturing and construction (%, tertiary)",,"Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,,,,
SE.TER.GRAD.FE.HL.ZS,,,"Female share of graduates in health (%, tertiary)",,"Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,,,,
SE.TER.GRAD.FE.HU.ZS,,,"Female share of graduates in humanities and arts (%, tertiary)",,"Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,,,,
SE.TER.GRAD.FE.OT.ZS,,,"Female share of graduates in unknown or unspecified fields (%, tertiary)",,"Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,,,,
SE.TER.GRAD.FE.SC.ZS,,,"Female share of graduates in science (%, tertiary)",,"Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,,,,
SE.TER.GRAD.FE.SS.ZS,,,"Female share of graduates in social science, business and law (%, tertiary)",,"Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,,,,
SE.TER.GRAD.FE.SV.ZS,,,"Female share of graduates in services (%, tertiary)",,"Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,,,,
SE.TER.TCHR.FE.ZS,,,"Tertiary education, teachers (% female)",,"Tertiary education, teachers (% female) is the share of female teachers in tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Inputs,Annual,,Weighted average,,,Relevance to gender indicator: Women teachers are important as they serve as role models to girls and help to attract and retain girls in school.
SE.XPD.PRIM.PC.ZS,"The share of public expenditure devoted to education allows an assessment of the priority a government assigns to education relative to other public investments, as well as a government's commitment to investing in human capital development. However, high-quality data on education finance are scarce. Improving their quality is a priority of the UNESCO Institute for Statistics. Additional resources are being allocated for technical assistance to countries in need, especially in Sub-Saharan Africa. Interagency partnerships and collaborations with national ministries in charge of education finance data are improving, and actual expenditure data are increasingly being collected. Tracking private education spending is still a challenge for all countries.","For most countries the data on education spending refer to public spending - government spending on education at all levels plus subsidies provided to households and other private entities - and generally exclude foreign aid for education that is not included in the government budget. The data may also exclude spending by religious schools, which play a significant role in many developing countries. Data are gathered from ministries of education and from other ministries or agencies involved in education spending for monitoring, policymaking, and resource allocation.

Data on public expenditure per student for primary education is calculated by dividing public spending on primary education by the number of students at primary level, expressed as percentage of GDP per capita. Aggregate data are World Bank estimates.

Data on education are collected by the United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics (UIS) from official responses to its annual education survey. All the data published by the UIS are mapped to the International Standard Classification of Education 1997 (ISCED97). This classification system ensures the comparability of education programs at the international level. UNESCO developed the ISCED to facilitate comparisons of education statistics and indicators of different countries on the basis of uniform and internationally agreed definitions. First developed in the 1970s, the current version was formally adopted in November 1997.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Expenditure per student, primary (% of GDP per capita)",,"Public expenditure per student is the public current spending on education divided by the total number of students by level, as a percentage of GDP per capita. Public expenditure (current and capital) includes government spending on educational institutions (both public and private), education administration as well as subsidies for private entities (students/households and other privates entities).","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Inputs,Annual,,Median,"Returns on investment to education, especially primary and lower secondary education, cannot be understood simply by comparing current education indicators with national income. It takes a long time before currently enrolled children can productively contribute to the national economy (Hanushek 2002).

There is also a limitation on data collection. While international standards ensure comparable datasets, data collection methods may vary by country and within countries over time.",,Aggregate data are based on World Bank estimates.
SE.XPD.SECO.PC.ZS,,,"Expenditure per student, secondary (% of GDP per capita)",,"Public expenditure per student is the public current spending on education divided by the total number of students by level, as a percentage of GDP per capita. Public expenditure (current and capital) includes government spending on educational institutions (both public and private), education administration as well as subsidies for private entities (students/households and other privates entities).","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Inputs,Annual,,Median,,,Aggregate data are based on World Bank estimates.
